Số ĐKKD/MST,Tên công ty,Địa chỉ,Ngày thành lập,Ngày hoạt động,Trạng thái,Điện thoại,Người đại diện,Loại hình DN,Cập nhật lần cuối
1102027771-001,CHI NHÁNH CÔNG TY TNHH THỜI TRANG XÌ TIN,"Số 24, Võ�Công Tồn, Khu Phố 1, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",04/04/2023,04/04/2023,Đang Hoạt Động,0907598456,Nguyễn Thị Kim Hương,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 19/04/2023."
1102028366,CÔNG TY TNHH XNK ĐỒ HỘP TRƯỜNG THỊNH,"Số 40, Đường Số 14, Khu Dân Cư Nam Long, Xã An Thạnh, Huyện Bến Lức, Long An",04/04/2023,01/05/2023,Đang Hoạt Động,0986882635,Trần Danh Trường,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 19/04/2023."
1102028408,CÔNG TY TNHH TM SX DV XNK CƯỜNG TUẤN,"Số 027C Ấp 3, Xã Tân Bửu, Huyện Bến Lức, Long An",04/04/2023,04/04/2023,Đang Hoạt Động,0907678888,Nguyễn Thành Hớn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 19/04/2023."
1102028020,DOANH NGHIỆP TƯ NHÂN TM - DV TUYỀN KHANH,"Số 197A5, Ấp Tấn Long, Xã Thanh Phú, Huyện Bến Lức, Long An",30/03/2023,30/03/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0903947321,Huỳnh Văn Nù,Doanh Nghiệp Tư Nhân (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 26/10/2023."
1102027877,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHUÔNG ĐỎ,"Quốc Lộ N2, Ấp 4, Xã Thạnh Lợi, Huyện Bến Lức, Long An",28/03/2023,28/03/2023,Ngừng Hoạt Động,0337177778,Đỗ Đình Ánh,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 27/11/2023."
1102027919,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT KIM MINH VY,"Ấp Phước Tú, Xã Thanh Phú, Huyện Bến Lức, Long An",28/03/2023,28/03/2023,Đang Hoạt Động,0908399899,Trương Quốc Nam,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 31/03/2023."
0315359240-001,CHI NHÁNH - CÔNG TY TNHH CÔNG NGHỆ THÔNG MINH FABIA,"Quốc Lộ 1A, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",27/03/2023,27/03/2023,Ngừng Hoạt Động Nhưng Chưa Hoàn Thành Thủ Tục,0867 950 688,Nguyễn Thị Ưng,Công Ty TNHH 2 Thành Viên Trở Lên (100% Vốn ĐTNN),"Cập nhật lần cuối
ngày 04/10/2024."
0316034252-002,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM BẾP 5 GIÂY - AN LẠC PHÁT,"Thửa Đất Số 1169, Tờ Bản Đồ Số 4, Đường Số 2, Kcn Phúc Long, Xã Long Hiệp, Huyện Bến Lức, Long An",24/03/2023,24/03/2023,Đang Hoạt Động,N/A,Nguyễn Ngọc Hải Nam,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 31/03/2023."
1102027771,CÔNG TY TNHH THỜI TRANG XÌ TIN,"20 Võ Công Tồn, Khu Phố 1, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",24/03/2023,24/03/2023,Đang Hoạt Động,0907598456,Nguyễn Thị Kim Hương,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/04/2023."
1102027676,CÔNG TY TNHH OPEN SKY EDUCATION,"Số 101A6, Đt830C, Ấp Tấn Long, Xã Thanh Phú, Huyện Bến Lức, Long An",23/03/2023,23/03/2023,Đang Hoạt Động,0903 833 215,Nguyễn Thị Ngọc Thụy,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 31/03/2023."
0317575864-001,CHI NHÁNH CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI ANGEL,"Quốc Lộ 1A, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",23/03/2023,23/03/2023,Đang Hoạt Động,0867950688,Phạm Ngọc Trường,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 28/08/2024."
1102027468,CÔNG TY TNHH MTV THƯƠNG MẠI VÀ XÂY DỰNG HOÀNG LONG,"Lầu 1, Số 68, Nguyễn Trung Trực, Khu Phố 9, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",21/03/2023,21/03/2023,Đang Hoạt Động,02723872 848,Phạm Phúc Toại,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 21/03/2023."
1102027147,CÔNG TY TNHH XNK 868 GROUP,"125, Ấp 2, Xã Thạnh Hòa, Huyện Bến Lức, Long An",20/03/2023,20/03/2023,Đang Hoạt Động,0867366292,Trương Vũ Hoàng Phi,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 26/12/2023."
1102027210,CÔNG TY TNHH DV MASSAGE CÁT TIÊN SA,"Số 36 Đường Số 9, Kdc Mai Thị Non, Khu Phố 2, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",20/03/2023,20/03/2023,Đang Hoạt Động,0907348674,Bùi Thanh Phong,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/08/2023."
1102027235,CÔNG TY CỔ PHẦN XÂY DỰNG HÀNG HẢI ĐẠI TÂY DƯƠNG,"Ấp 1, Xã Mỹ Yên, Huyện Bến Lức, Long An",20/03/2023,20/03/2023,Đang Hoạt Động,02723638774,Trương Thị Thanh Trang,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 23/05/2023."
0315693301-002,CHI NHÁNH � XƯỞNG SẢN XUẤT � CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HÓA MỸ PHẨM AN THUẬN PHÁT,"Số 342, Ấp 4, Xã Tân Bửu, Huyện Bến Lức, Long An",20/03/2023,20/03/2023,Đang Hoạt Động,028 62646688,Ngô Thị Bích Thuận,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 31/03/2023."
1102027186,CÔNG TY TNHH IC VINA,"Lô D03 - Căn 04, Khu Đô Thị Waterpoint, Xã An Thạnh, Huyện Bến Lức, Long An",17/03/2023,17/03/2023,Đang Hoạt Động,02723979212,Nguyễn Văn Việt,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 22/07/2024."
1102027059,CÔNG TY TNHH MTV IMASTER,"213, Đường Nguyễn Hữu Thọ, Khu Phố 2, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",16/03/2023,03/04/2023,Đang Hoạt Động,0918879948,Ngô Thị Thùy Trang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 24/03/2023."
1102026947,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI TBD LONG AN,"Số 4, Quốc Lộ 1A, Khu Phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",14/03/2023,14/03/2023,Đang Hoạt Động,0919739168,Phạm Kim Thông,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 19/09/2024."
1102026778,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÁT MINH ANH,"Thửa Đất Số 850, Tờ Bản Đồ Số 14, Ấp 2, Xã Mỹ Yên, Huyện Bến Lức, Long An",09/03/2023,09/03/2023,Đang Hoạt Động,0827715789,Trần Thị Mộng Trinh,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 23/05/2024."
1102026665,CÔNG TY TNHH THÉP 478,"478 Nguyễn Hữu Thọ, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",09/03/2023,09/03/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0708534470,Trần Thị Dạ Cầm,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 12/06/2023."
0315741594-001,CÔNG TY TNHH XUẤT NHẬP KHẨU PHÂN BÓN TÂN BÌNH - CHI NHÁNH LONG AN,"Xưởng 12, Cụm Công Nghiệp Quốc Quang Long An, Ấp 5, Xã Lương Bình, Huyện Bến Lức, Long An",09/03/2023,09/03/2023,Đang Hoạt Động,0932005095,Lang Ngọc Triết,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 16/01/2024."
1102026506,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÚC NGỌC LINH,"Ấp Chánh., Xã Long Hiệp, Huyện Bến Lức, Long An",08/03/2023,08/03/2023,Đang Hoạt Động,0362626269,Lê Thị Trúc Linh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/03/2023."
1102026633,CÔNG TY CỔ PHẦN GIÀN GIÁO ANH KHANG,"Ấp Phước Tú., Xã Thanh Phú, Huyện Bến Lức, Long An",08/03/2023,08/03/2023,Đang Hoạt Động,0949680708,Phạm Hồng Thái,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 09/03/2023."
1102026425,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI XNK BITIDO,"Số 02, Đường Số 14, Khu Dân Cư 135, Khu Phố 10, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",07/03/2023,07/03/2023,Đang Hoạt Động,0392 198 979,Trần Thị Hoa,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 26/12/2023."
1102026256,CÔNG TY TNHH NHA KHOA THIÊN TÂM,"151 Ql1A, Ấp 1, Xã Thạnh Đức, Huyện Bến Lức, Long An",06/03/2023,06/03/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,02722200818,Huỳnh Lix Phol,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/05/2024."
0316982105-001,CHI NHÁNH CÔNG TY CỔ PHẦN DƯỢC THẢO KIM CƯƠNG VÀNG PLUS,"Lô A13,14,15 Khu Nhà Vườn Dân Cư Thạnh Đức, Xã Thạnh Đức, Huyện Bến Lức, Long An",06/03/2023,06/03/2023,Đang Hoạt Động,1900 272 758,Thái Chí Hùng,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 20/03/2023."
0315544194-001,CHI NHÁNH CÔNG TY TNHH THU GOM PHẾ LIỆU NGHĨA PHÚC,"Đường Ấp 4( Bờ Đông), Xã Tân Bửu, Huyện Bến Lức, Long An",06/03/2023,06/03/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0961743739,Trương Hồng Điệp,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 29/08/2023."
1102026249,CÔNG TY TNHH VIỆT NAM YOKOREI,"Lô B18-1, B19-1, B20-1, B21-1, Đường Dọc 2 Của Khu Công Nghi, Xã An Thạnh, Huyện Bến Lức, Long An",03/03/2023,03/03/2023,Đang Hoạt Động,02723655746,Shinya Seki,Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 12/05/2023."
1102026231,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT MÁY XÂY DỰNG AN PHONG,"69A Đường Mỹ Yên Tân Bửu, Ấp 4, Xã Mỹ Yên, Huyện Bến Lức, Long An",03/03/2023,03/03/2023,Đang Hoạt Động,0909978627,Nguyễn Thị Bích Loan,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/10/2023."
1102026087,CÔNG TY TNHH TỔ CHỨC SỰ KIỆN THẾ BẰNG,"Thửa Đất Số 32, Tờ Bản Đồ Số 5, Ấp Phước Tỉnh, Xã Long Hiệp, Huyện Bến Lức, Long An",02/03/2023,02/03/2023,Tạm Nghỉ Kinh Doanh Có Thời Hạn,0933852544,Cù Thế Bằng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/03/2024."
1102026048,CÔNG TY TNHH MTV HULO HOUSE,"5/4 Ql1A, Khu Phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",02/03/2023,02/03/2023,Tạm Nghỉ Kinh Doanh Có Thời Hạn,0889132064,Huỳnh Ngọc Long,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 25/06/2024."
1102026023,CÔNG TY TNHH MTV SẢN XUẤT THƯƠNG MẠI DỊCH VỤ VÀ VẬN TẢI HẢI SƠN,"Ấp 8, Xã Lương Hòa, Huyện Bến Lức, Long An",01/03/2023,01/03/2023,Đang Hoạt Động,0938247082,Nguyễn Hải Nam,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/03/2023."
1102025799,CÔNG TY TNHH TM DV SƠN ĐẶNG DN,"243 Ấp Tân Long, Xã Thanh Phú, Huyện Bến Lức, Long An",28/02/2023,28/02/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0567609477,Đặng Hoàng Sơn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/07/2023."
1102025929,CÔNG TY TNHH TM DV ĐẠI THUẬN PHÁT,"Thửa Đất Số 396, Tờ Bản Đồ Số 13, Ấp 6, Xã Thạnh Đức, Huyện Bến Lức, Long An",28/02/2023,28/02/2023,Đang Hoạt Động,0837864818,Thái Ngân Hà,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/11/2023."
1102025728,CÔNG TY TNHH CUNG ỨNG LAO ĐỘNG NAM ANH,"221 Đường Số 9, Khu Dân Cư Nam Long, Ấp 4, Xã An Thạnh, Huyện Bến Lức, Long An",27/02/2023,15/03/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0967 899 808,Lương Công Lũy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/06/2023."
1102025661,CÔNG TY TNHH THIÊN PHÁT MINH,"296C Ấp 2, Lộ 8 Thăng., Xã Thạnh Đức, Huyện Bến Lức, Long An",24/02/2023,24/02/2023,Đang Hoạt Động,0382036774,Võ Trung Tú,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 13/03/2023."
0316649665-001,CHI NHÁNH CÔNG TY TNHH TM DV HƯNG THỤY,"189 Ấp 1B, Xã Thanh Phú, Huyện Bến Lức, Long An",24/02/2023,24/02/2023,Đang Hoạt Động,N/A,Trần Huệ Nhi,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 07/05/2024."
1102025693,CÔNG TY TNHH MTV ECO THANH MỘC,"Ấp 1., Xã Phước Lợi, Huyện Bến Lức, Long An",24/02/2023,24/02/2023,Đang Hoạt Động,0908 282 496,Lê Hoàng Minh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/02/2023."
1102025608,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP TÂM HỒNG PHÁT,"Ấp 2., Xã Thạnh Đức, Huyện Bến Lức, Long An",23/02/2023,23/02/2023,Đang Hoạt Động,0906 308 989,Trần Trường Hải,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/02/2023."
1102025566,CÔNG TY TNHH SẢN XUẤT TMDV INOX TRỌNG TÍN,"44B/3 Ấp 1A., Xã An Thạnh, Huyện Bến Lức, Long An",23/02/2023,23/02/2023,Đang Hoạt Động,039 819 7979 0975,Lê Văn Trọng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/02/2023."
1102025573,CÔNG TY TNHH TM DV XNK GREEN CITY,"19 Đường 24 Kdc Nam Long., Xã An Thạnh, Huyện Bến Lức, Long An",23/02/2023,23/02/2023,Đang Hoạt Động,0367126078,Trần Xuân Thành,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/02/2023."
1102025492,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NABURI,"Đường Số 8 Khu Dân Cư Mai Thị Non, Khu Phố 2, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",22/02/2023,22/02/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0947246810,Trần Huyền Trân,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 12/06/2023."
1102022928-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI THÉP TRƯỜNG SƠN CẦN ĐƯỚC,"Thửa 271, Tờ Bản Đồ Số 7, Ấp 6., Xã Thạnh Đức, Huyện Bến Lức, Long An",21/02/2023,21/02/2023,Đang Hoạt Động,0362934220,Đặng Văn Lượng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/02/2023."
1102025372,DOANH NGHIỆP TƯ NHÂN HUỲNH GIA PHÁT L.A,"204 Đường Phan Văn Mãng, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",21/02/2023,21/02/2023,Đang Hoạt Động,0933256357,Huỳnh Thị Ngọc Nhi,Doanh Nghiệp Tư Nhân (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 12/06/2024."
1102025291,CÔNG TY TNHH XNK PHÂN BÓN TRƯƠNG GIA GROUP,"Ấp 5., Xã Lương Bình, Huyện Bến Lức, Long An",20/02/2023,20/02/2023,Đang Hoạt Động,0902560564,Đặng Thái Sơn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/02/2023."
0315696447-004,CHI NHÁNH CÔNG TY TNHH UNIGREEN,"Kcn Vĩnh Lộc 2, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",16/02/2023,16/02/2023,Đang Hoạt Động,0283-755-9000,Mai Văn Cường,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/02/2023."
0317223478-001,CHI NHÁNH SỐ 1 CÔNG TY TNHH NÔNG NGHIỆP AN TOÀN VIỆT NAM,"Thửa Đất Số 74, Tờ Bản Đồ Số 32, Xã Lương Bình, Huyện Bến Lức, Long An",16/02/2023,16/02/2023,Đang Hoạt Động,0903929248,Lê Anh Thông,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 13/03/2023."
0315955677-001,CHI NHÁNH SỐ 1 CÔNG TY CỔ PHẦN HASHTAG ECOS,"Thửa Đất Số 74, Tờ Bản Đồ Số 32, Xã Lương Bình, Huyện Bến Lức, Long An",16/02/2023,16/02/2023,Ngừng Hoạt Động,0938898708,Lê Anh Thông,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 01/03/2024."
1102024925,CÔNG TY TNHH XD-TM-DV MTV QUÝ TRỌNG QT,"Số 297, Ấp 6, Xã Nhựt Chánh, Huyện Bến Lức, Long An",14/02/2023,14/02/2023,Đang Hoạt Động,0944 658 128,Nguyễn Văn Trọng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/03/2024."
0317510056-001,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI TƯỜNG PHÁT,"Tđs 138,Tbđ 15 Đường Ấp 4, Xã Mỹ Yên, Huyện Bến Lức, Long An",14/02/2023,14/02/2023,Đang Hoạt Động,0909633182,Lâm Chấn Huy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 25/06/2024."
0316617092-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH LAVIE DECOR - PHAN KHANG LAND,"Aqua - A09.08 Khu Dân Cư Water Point Nam Long, Địa Chỉ Đt824., Xã An Thạnh, Huyện Bến Lức, Long An",13/02/2023,13/02/2023,Đang Hoạt Động,0909961750,Lê Nhật Khang Duy,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 17/02/2023."
1102024837,CÔNG TY TNHH SẢN XUẤT MÁY SAO SÁNG,"69A Đường Mỹ Yên Tân Bửu, Ấp 4, Xã Mỹ Yên, Huyện Bến Lức, Long An",13/02/2023,13/02/2023,Ngừng Hoạt Động,0909978627,Nguyễn Thuyết,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 04/10/2024."
1102024717,CÔNG TY CỔ PHẦN ĐẦU TƯ MUA BÁN ĐIỆN PHÚ THẠNH,"Lô A1, Đường Ngang 1, Kcn Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Long An",10/02/2023,10/02/2023,Đang Hoạt Động,0913931949,Phạm Quang Đức,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 21/03/2023."
1102024731,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI THÀNH NHIÊN,"Số 17 Đường Số 16 Khu Dân Cư Nam Long., Xã An Thạnh, Huyện Bến Lức, Long An",10/02/2023,10/02/2023,Đang Hoạt Động,0979514191,Cao Thị Quỳnh Nhi,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 13/02/2023."
1102024756,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀM CỎ ĐÔNG,"Số 104 Đường Số 1, Kdc Nam Long, Ấp 4., Xã An Thạnh, Huyện Bến Lức, Long An",10/02/2023,10/02/2023,Đang Hoạt Động,0356088486,Bùi Thị Minh Nguyệt,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 13/02/2023."
1102024636,CÔNG TY TNHH TM SX DV AN ĐỨC,"Ấp 1., Xã Tân Bửu, Huyện Bến Lức, Long An",09/02/2023,09/02/2023,Đang Hoạt Động,0907562425,Ngô Hoài Mỹ,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/02/2023."
1102024611,CÔNG TY TNHH SẢN XUẤT DỊCH VỤ THƯƠNG MẠI XUẤT NHẬP KHẨU EVERGREEN,"Đường Số 5, Khu Dân Cư Đường 10, Xã Thanh Phú, Huyện Bến Lức, Long An",09/02/2023,09/02/2023,Đang Hoạt Động,0988327220,Nguyễn Thị Thùy Lan,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 03/07/2023."
1102024555,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC HVSEN,"Lô B6A1, Đường Số 5, Kcn Phúc Long, Xã Long Hiệp, Huyện Bến Lức, Long An",08/02/2023,08/02/2023,Đang Hoạt Động,0272 3632 562,Ngũ Gia Mẫn,"Công Ty TNHH 2 TV Trở Lên Không Có Vốn Nhà Nước, Có Vốn Nước Ngoài Dưới 51%","Cập nhật lần cuối
ngày 02/08/2024."
1101979175-001,CHI NHÁNH CÔNG TY TNHH BẢO GIA KHANG STEEL .LD,"5A/1 Tỉnh Lộ 830, Ấp 3, Xã An Thạnh, Huyện Bến Lức, Long An",08/02/2023,08/02/2023,Đang Hoạt Động,N/A,Nguyễn Thị Ngọc Huyền,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 05/04/2024."
1102024435,CÔNG TY TNHH THIẾT BỊ PCCC ĐẠI PHÁT,"Lô A2-27 Khu Đô Thị Trần Anh Riverside, Khu Phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",07/02/2023,07/02/2023,Đang Hoạt Động,0937 135 684,Trịnh Minh Tuấn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 27/03/2024."
1102024354,CÔNG TY TNHH TRANG TRÍ TIỆC CƯỚI NHÀN HUỲNH,"43A Ấp 3A., Xã Phước Lợi, Huyện Bến Lức, Long An",06/02/2023,06/02/2023,Đang Hoạt Động,0906700673,Huỳnh Thị Thanh Nhàn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/02/2023."
1102024234,CÔNG TY CỔ PHẦN FREE LIFE,"A9 Ấp 3., Xã Mỹ Yên, Huyện Bến Lức, Long An",03/02/2023,03/02/2023,Đang Hoạt Động,0964887531,Nguyễn Quang Kiên,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 17/02/2023."
1102024259,CÔNG TY TNHH CƠ KHÍ VÀ THIẾT BỊ TÍN THÀNH PHÁT,"Ấp 9., Xã Lương Hòa, Huyện Bến Lức, Long An",03/02/2023,03/02/2023,Đang Hoạt Động,0979 749 359,Phạm Công Cảnh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 17/02/2023."
1101846577-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CHIẾU XẠ TOÀN PHÁT,"Số 19 Đường H9, Khu Đô Thị Mới Vàm Cỏ Đông Southgate, Xã An Thạnh, Huyện Bến Lức, Long An",01/02/2023,01/02/2023,Đang Hoạt Động,0922 916 999,Vương Đình Khoát,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 03/02/2023."
1102023978,CÔNG TY TNHH SẢN XUẤT XÂY DỰNG THƯƠNG MẠI VẠN TÍN,"Ấp Phước Tú, Xã Thanh Phú, Huyện Bến Lức, Long An",30/01/2023,30/01/2023,Đang Hoạt Động,0767794891,Tô Minh Đang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 20/09/2024."
1102023632,CÔNG TY TNHH VÀNG BẠC ĐÁ QUÝ MINH PHÚ,"Số 186 Phan Văn Mảng, Khu Phố 8., Thị Trấn Bến Lức, Huyện Bến Lức, Long An",27/01/2023,27/01/2023,Đang Hoạt Động,0937996068,Bùi Thanh Phú,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 30/01/2023."
1102023858,CÔNG TY TNHH CƠ GIỚI GIA HUY PHÁT,"Số 89, Ấp 3, Xã An Thạnh, Huyện Bến Lức, Long An",27/01/2023,27/01/2023,Đang Hoạt Động,0376173349,Nguyễn Gia Huy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/06/2023."
1102023625,CÔNG TY TNHH CÔNG NGHỆ TỰ ĐỘNG HÓA BANGTAI,"Ấp Lò Gạch, Xã Long Hiệp, Huyện Bến Lức, Long An",27/01/2023,27/01/2023,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0984272481,Phan Vùn Bị Hậu,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 26/03/2024."
